num,Label,Area,PArea
1,01.jpg:4416-3534,52065648,0.08459
2,01.jpg:1720-3593,17179939,0.08413
3,01.jpg:4416-3532,17725295,0.07864
4,01.jpg:7112-3471,17166011,0.09115
5,02.jpg:4518-3534,52060419,0.08328
6,02.jpg:1722-3635,17174428,0.07996
7,02.jpg:4518-3526,17904414,0.08111
8,02.jpg:7314-3416,16983188,0.08886
9,03.jpg:4476-3866,52492021,0.09224
10,03.jpg:1804-3898,17573616,0.09176
11,03.jpg:4476-3855,17733775,0.10640
12,03.jpg:7148-3842,17181550,0.07807
13,04.jpg:4386-3822,52632870,0.09942
14,04.jpg:1670-3886,17314408,0.09982
15,04.jpg:4386-3832,17688581,0.11103
16,04.jpg:7102-3778,17619260,0.08739
17,05.jpg:4380-3630,52206779,0.12646
18,05.jpg:1668-3633,17394889,0.10385
19,05.jpg:4380-3628,17621453,0.17854
20,05.jpg:7092-3622,17185525,0.09601
21,06.jpg:4362-3666,52445877,0.10213
22,06.jpg:1646-3669,17397167,0.09949
23,06.jpg:4362-3640,17651870,0.09048
24,06.jpg:7078-3610,17396096,0.11666
25,07.jpg:4284-3606,52885872,0.15535
26,07.jpg:1580-3610,17400925,0.15233
27,07.jpg:4284-3585,17801719,0.17562
28,07.jpg:6988-3558,17680195,0.13813
29,08.jpg:4320-3522,51731435,0.09356
30,08.jpg:1672-3604,17103320,0.09389
31,08.jpg:4320-3535,17278582,0.10187
32,08.jpg:6968-3466,17347139,0.08464
33,09.jpg:4290-3660,51363940,0.11355
34,09.jpg:1622-3712,16811222,0.12315
35,09.jpg:4290-3663,17206373,0.10009
36,09.jpg:6958-3612,17347821,0.11751
37,10.jpg:4350-3672,49968708,0.12523
38,10.jpg:1714-3680,16782872,0.12671
39,10.jpg:4350-3634,16929764,0.11799
40,10.jpg:6986-3587,16239339,0.13106
41,11.jpg:4374-3672,52948503,0.13444
42,11.jpg:1666-3724,17731303,0.13029
43,11.jpg:4374-3648,17844027,0.14477
44,11.jpg:7082-3572,17365070,0.12806
45,12.jpg:4590-3726,51089289,0.14342
46,12.jpg:1946-3790,16581763,0.15518
47,12.jpg:4590-3724,17279550,0.12456
48,12.jpg:7234-3658,17230863,0.15105
49,13.jpg:4386-3768,53852154,0.07159
50,13.jpg:1638-3780,17918723,0.07841
51,13.jpg:4386-3764,18137920,0.06425
52,13.jpg:7134-3748,17796080,0.07223
53,14.jpg:4446-3642,53788686,0.10858
54,14.jpg:1722-3661,17894571,0.09355
55,14.jpg:4446-3628,18061064,0.11411
56,14.jpg:7170-3594,17829211,0.11801
57,15.jpg:4356-3630,48350562,0.15315
58,15.jpg:1716-3630,17050259,0.20142
59,15.jpg:4356-3615,14230160,0.17912
60,15.jpg:6996-3590,17064315,0.08320
61,16.jpg:4356-3690,51341036,0.08379
62,16.jpg:1692-3722,17241812,0.08141
63,16.jpg:4356-3672,17346529,0.08738
64,16.jpg:7020-3622,16750703,0.08235
65,17.jpg:4410-3780,51333540,0.08576
66,17.jpg:1750-3767,17371668,0.08620
67,17.jpg:4410-3781,17439088,0.08530
68,17.jpg:7070-3796,16525207,0.08578
69,18.jpg:4278-3726,52297554,0.10927
70,18.jpg:1578-3778,17143983,0.11910
71,18.jpg:4278-3717,17682412,0.09886
72,18.jpg:6978-3655,17471771,0.11021
73,19.jpg:4386-3618,50694653,0.11664
74,19.jpg:1726-3690,16505558,0.14639
75,19.jpg:4386-3625,16982664,0.10988
76,19.jpg:7046-3586,17200876,0.09487
77,20.jpg:4446-3678,51654166,0.10128
78,20.jpg:1770-3766,16841653,0.09579
79,20.jpg:4446-3706,17336802,0.09486
80,20.jpg:7122-3646,17487715,0.11282
81,21.jpg:4326-3672,52765941,0.08736
82,21.jpg:1626-3740,17320493,0.08506
83,21.jpg:4326-3669,17758843,0.09436
84,21.jpg:7026-3597,17698039,0.08254
85,22.jpg:4284-3594,49673873,0.11803
86,22.jpg:1620-3594,16888631,0.09718
87,22.jpg:4284-3632,16813602,0.14877
88,22.jpg:6948-3624,15972826,0.10772
89,23.jpg:4260-3678,51188723,0.11134
90,23.jpg:1580-3699,16881829,0.09923
91,23.jpg:4260-3671,17431832,0.10477
92,23.jpg:6940-3642,16859221,0.13024
93,24.jpg:4284-3726,51472446,0.13149
94,24.jpg:1644-3750,17168914,0.14000
95,24.jpg:4284-3706,17194217,0.12488
96,24.jpg:6924-3698,17108620,0.12960
97,25.jpg:4338-3594,51299347,0.06455
98,25.jpg:1694-3610,17127086,0.06592
99,25.jpg:4338-3586,17165680,0.06348
100,25.jpg:6982-3562,17009472,0.06413
101,26.jpg:4476-3624,52154106,0.05905
102,26.jpg:1772-3696,17254331,0.06382
103,26.jpg:4476-3649,17476081,0.05491
104,26.jpg:7180-3604,17425105,0.05847
105,27.jpg:4664-3582,51681896,0.05869
106,27.jpg:1976-3689,17143919,0.07076
107,27.jpg:4664-3629,17486374,0.05760
108,27.jpg:7352-3570,17056560,0.04758
109,28.jpg:4488-3642,52730216,0.07994
110,28.jpg:1784-3658,17546384,0.09328
111,28.jpg:4488-3640,17735926,0.07967
112,28.jpg:7192-3622,17453293,0.06680
113,29.jpg:4236-3660,47077914,0.12427
114,29.jpg:1604-3667,15949961,0.12290
115,29.jpg:4236-3594,14229182,0.15758
116,29.jpg:6868-3612,16896794,0.09752
117,30.jpg:4398-3696,47166581,0.13284
118,30.jpg:1738-3792,16616364,0.13071
119,30.jpg:4398-3766,17348587,0.12361
120,30.jpg:7058-3644,13205890,0.14748
121,31.jpg:4344-3708,50870658,0.11596
122,31.jpg:1712-3712,17056188,0.15187
123,31.jpg:4344-3666,17074539,0.09562
124,31.jpg:6976-3620,16740104,0.10021
125,32.jpg:4452-3660,47518704,0.12554
126,32.jpg:1876-3740,16337472,0.12473
127,32.jpg:4452-3688,16491264,0.13214
128,32.jpg:7028-3639,14694640,0.11904
129,33.jpg:4458-3846,45787150,0.11369
130,33.jpg:1774-3652,13585045,0.11885
131,33.jpg:4458-3854,15485636,0.11309
132,33.jpg:7142-3774,16718332,0.11000
133,34.jpg:4410-3702,50526809,0.09646
134,34.jpg:1766-3750,16730023,0.10301
135,34.jpg:4410-3700,16955319,0.08651
136,34.jpg:7054-3650,16834444,0.09997
137,35.jpg:4416-3870,51981883,0.11170
138,35.jpg:1728-3882,17249917,0.12672
139,35.jpg:4416-3862,17483355,0.11133
140,35.jpg:7104-3842,17249559,0.09719
141,36.jpg:4356-3756,47481041,0.14152
142,36.jpg:1780-3814,14966698,0.15295
143,36.jpg:4356-3766,15712918,0.14076
144,36.jpg:6932-3728,16796145,0.13210
145,37.jpg:4290-3666,49854738,0.04726
146,37.jpg:1710-3693,16614834,0.04444
147,37.jpg:4290-3666,16656929,0.04575
148,37.jpg:6870-3638,16582813,0.05166
149,38.jpg:4368-3738,50862887,0.07619
150,38.jpg:1736-3738,17087878,0.07354
151,38.jpg:4368-3740,17074251,0.06998
152,38.jpg:7000-3742,16711730,0.08520
153,39.jpg:4368-3804,47971355,0.09621
154,39.jpg:1720-3804,17009829,0.08413
155,39.jpg:4368-3778,16923219,0.09668
156,39.jpg:7016-3752,14048759,0.11046
157,40.jpg:4350-3810,51343737,0.08938
158,40.jpg:1706-3813,17019668,0.09276
159,40.jpg:4350-3800,17244834,0.08085
160,40.jpg:6994-3786,17077770,0.09474
161,41.jpg:4350-3738,50024724,0.19410
162,41.jpg:1730-3738,16704560,0.13762
163,41.jpg:4350-3742,16725076,0.13187
164,41.jpg:6970-3746,16592517,0.31372
165,42.jpg:4368-3744,49316760,0.14203
166,42.jpg:1728-3756,15547198,0.13999
167,42.jpg:4368-3732,17023085,0.13090
168,42.jpg:7008-3702,16742292,0.15526
169,43.jpg:4380-3645,47938242,0.28729
170,43.jpg:1852-3692,15047253,0.25950
171,43.jpg:4380-3668,16409060,0.31080
172,43.jpg:6908-3645,16477773,0.28933
173,44.jpg:4452-3774,50873261,0.16489
174,44.jpg:1852-3762,17048332,0.10573
175,44.jpg:4452-3770,17128491,0.16353
176,44.jpg:7052-3790,16698183,0.22667
177,45.jpg:4392-3612,48907553,0.18215
178,45.jpg:1768-3636,15843673,0.16451
179,45.jpg:4392-3617,16344002,0.16669
180,45.jpg:7016-3597,16718647,0.21407
181,46.jpg:4458-3837,51275033,0.08406
182,46.jpg:1774-3802,16997610,0.06371
183,46.jpg:4458-3845,17366496,0.10162
184,46.jpg:7142-3766,16914589,0.08641
185,47.jpg:4272-3864,51621762,0.06460
186,47.jpg:1608-3888,17146602,0.04273
187,47.jpg:4272-3877,17418817,0.06604
188,47.jpg:6936-3824,17061301,0.08516
189,48.jpg:4374-3648,50193296,0.10449
190,48.jpg:1698-3648,16458718,0.12948
191,48.jpg:4374-3596,17197518,0.09435
192,48.jpg:7050-3544,16520347,0.09006
